loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_entropy,eval_num_tokens,eval_mean_token_accuracy,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
7.0556,4.316627502441406,9e-06,4.048721468448639,30720.0,0.13763054711744188,0.010526315789473684,10,,,,,,,,,,,,
,,,,,,0.010526315789473684,10,6.969612121582031,1.8457,5.418,5.418,3.9378329277038575,30720.0,0.14020887687802314,,,,,
6.897,5.089607238769531,1.9e-05,4.018662610650063,61440.0,0.14174281870946287,0.021052631578947368,20,,,,,,,,,,,,
,,,,,,0.021052631578947368,20,6.682740688323975,1.8457,5.418,5.418,3.884348654747009,61440.0,0.14020887687802314,,,,,
6.3977,28.73761749267578,2.8000000000000003e-05,3.8710626125335694,92160.0,0.1355417742393911,0.031578947368421054,30,,,,,,,,,,,,
,,,,,,0.031578947368421054,30,5.722774028778076,1.8445,5.421,5.421,3.728741717338562,92160.0,0.14020887687802314,,,,,
4.5788,24.76866912841797,3.8e-05,3.597247838973999,122880.0,0.1397519579157233,0.042105263157894736,40,,,,,,,,,,,,
,,,,,,0.042105263157894736,40,2.8208351135253906,1.8455,5.419,5.419,3.0912906169891357,122880.0,0.24046997129917144,,,,,
2.3249,5.581457614898682,4.8e-05,2.587233678996563,153600.0,0.5627937318757177,0.05263157894736842,50,,,,,,,,,,,,
,,,,,,0.05263157894736842,50,1.8206291198730469,1.8456,5.418,5.418,1.907405436038971,153600.0,0.7234986901283265,,,,,
1.4823,2.2245190143585205,4.7333333333333336e-05,1.370256619900465,184320.0,0.7504895538091659,0.06315789473684211,60,,,,,,,,,,,,
,,,,,,0.06315789473684211,60,1.1871315240859985,1.846,5.417,5.417,0.9457731008529663,184320.0,0.7827676177024842,,,,,
1.004,1.024681568145752,4.4000000000000006e-05,0.7884809494018554,215040.0,0.8285248063504695,0.07368421052631578,70,,,,,,,,,,,,
,,,,,,0.07368421052631578,70,0.9048463702201843,1.8446,5.421,5.421,0.7026818692684174,215040.0,0.8509138345718383,,,,,
0.813,3.756136655807495,4.066666666666667e-05,0.6633915092796088,245760.0,0.8564295016229153,0.08421052631578947,80,,,,,,,,,,,,
,,,,,,0.08421052631578947,80,0.7588874101638794,1.8447,5.421,5.421,0.6333751827478409,245760.0,0.8634464740753174,,,,,
0.7039,0.3560797870159149,3.733333333333334e-05,0.6156970657408237,276480.0,0.8672976508736611,0.09473684210526316,90,,,,,,,,,,,,
,,,,,,0.09473684210526316,90,0.6898319125175476,1.8457,5.418,5.418,0.6082953810691833,276480.0,0.8702349901199341,,,,,
0.6199,0.29336220026016235,3.4000000000000007e-05,0.5716452077031136,307200.0,0.8776436023414135,0.10526315789473684,100,,,,,,,,,,,,
,,,,,,0.10526315789473684,100,0.6497112512588501,1.8461,5.417,5.417,0.6014864772558213,307200.0,0.8704960823059082,,,,,
0.6192,0.22743673622608185,3.066666666666667e-05,0.5977734714746475,337920.0,0.8754569172859192,0.11578947368421053,110,,,,,,,,,,,,
,,,,,,0.11578947368421053,110,0.6185411214828491,1.8457,5.418,5.418,0.5945741146802902,337920.0,0.8767624020576477,,,,,
0.5671,0.25698229670524597,2.733333333333333e-05,0.5652520574629307,368640.0,0.885770232975483,0.12631578947368421,120,,,,,,,,,,,,
,,,,,,0.12631578947368421,120,0.590333104133606,1.845,5.42,5.42,0.5830505818128586,368640.0,0.8838120222091674,,,,,
0.5685,0.2833368480205536,2.4e-05,0.5859018597751856,399360.0,0.8844321176409722,0.1368421052631579,130,,,,,,,,,,,,
,,,,,,0.1368421052631579,130,0.5594013333320618,1.8452,5.419,5.419,0.5683324784040451,399360.0,0.8908616244792938,,,,,
0.5293,0.3471909761428833,2.0666666666666666e-05,0.5536136627197266,430080.0,0.8930483043193818,0.14736842105263157,140,,,,,,,,,,,,
,,,,,,0.14736842105263157,140,0.5268465280532837,1.846,5.417,5.417,0.5489289700984955,430080.0,0.8953002572059632,,,,,
0.4683,0.3745507001876831,1.7333333333333336e-05,0.5091233186423778,460800.0,0.9025783330202103,0.15789473684210525,150,,,,,,,,,,,,
,,,,,,0.15789473684210525,150,0.49083057045936584,1.846,5.417,5.417,0.5177789449691772,460800.0,0.9007833003997803,,,,,
0.4274,0.4571976661682129,1.4000000000000001e-05,0.46610923781991004,491520.0,0.9136096589267254,0.16842105263157894,160,,,,,,,,,,,,
,,,,,,0.16842105263157894,160,0.4561992585659027,1.8451,5.42,5.42,0.48020176589488983,491520.0,0.9127937316894531,,,,,
0.4072,0.36209937930107117,1.0666666666666667e-05,0.4449899854138494,522240.0,0.9198433391749858,0.17894736842105263,170,,,,,,,,,,,,
,,,,,,0.17894736842105263,170,0.429807186126709,1.8448,5.421,5.421,0.44714766144752505,522240.0,0.9190600514411926,,,,,
0.3893,0.32071471214294434,7.333333333333334e-06,0.41675562839955094,552960.0,0.9263054825365543,0.18947368421052632,180,,,,,,,,,,,,
,,,,,,0.18947368421052632,180,0.41547131538391113,1.845,5.42,5.42,0.4280296951532364,552960.0,0.9242819786071778,,,,,
0.3664,0.31595882773399353,4.000000000000001e-06,0.4001924581825733,583680.0,0.9317558743059635,0.2,190,,,,,,,,,,,,
,,,,,,0.2,190,0.40768495202064514,1.8458,5.418,5.418,0.41894638240337373,583680.0,0.9242819786071778,,,,,
0.3812,0.29845836758613586,6.666666666666667e-07,0.3979003818705678,614400.0,0.9265013054013252,0.21052631578947367,200,,,,,,,,,,,,
,,,,,,0.21052631578947367,200,0.40475359559059143,1.8458,5.418,5.418,0.4160453021526337,614400.0,0.9242819786071778,,,,,
,,,,,,0.21052631578947367,200,,,,,,,,879.7377,1.819,0.227,2.43650424471552e+16,1.830044161081314
